变量名,typeSeqID,weight,group,desc,desc_tw,desc_en,desc_vn,desc_kr,desc_pt,desc_th,choice1,choice1_tw,choice1_en,choice1_vn,choice1_kr,choice1_pt,choice1_th,choice2,choice2_tw,choice2_en,choice2_vn,choice2_kr,choice2_pt,choice2_th,choice3,choice3_tw,choice3_en,choice3_vn,choice3_kr,choice3_pt,choice3_th,choice4,choice4_tw,choice4_en,choice4_vn,choice4_kr,choice4_pt,choice4_th,answer,imgID
50,2,50,205,剧场版动画【精灵巡护员与苍海的王子】中玛纳霏曾认定谁是妈妈？,劇場版動畫【精靈巡護員與蒼海的王子】中瑪納霏曾認定誰是媽媽？,"In movie [Pokémon Ranger and the Temple of the Sea], who did Manaphy think is his mother?",,,,,小遥,小遙,May,May,May,May,May,小霞,小霞,Misty,Misty,Misty,Misty,Misty,小光,小光,Dawn,Dawn,Dawn,Dawn,Dawn,小胜,小勝,Max,Max,Max,Max,Max,1,
51,2,50,205,剧场版动画【洛奇亚爆诞】中小智和洛奇亚掉入到冰河中，是谁跳入冰河救的小智？,劇場版動畫【洛奇亞爆誕】中小智和洛奇亞掉入到冰河中，是誰跳入冰河救的小智？,"In movie [Pokémon the Movie 2000: The Power of One], Ash and Lugia fell into the ice river, who was the one who saved Ash and jumping into the ice river?",,,,,小霞,小霞,Misty,Misty,Misty,Misty,Misty,小刚,小剛,Brock,Brock,Brock,Brock,Brock,芙罗拉,芙羅拉,Melody,Melody,Melody,Melody,Melody,小茂,小茂,Gary Oak,Gary Oak,Gary Oak,Gary Oak,Gary Oak,1,
52,2,50,205,剧场版动画【骑拉帝纳与冰空的花束】中，骑拉帝纳追踪帝牙卢卡的原因是什么？,劇場版動畫【騎拉帝納與冰空的花束】中，騎拉帝納追蹤帝牙盧卡的原因是什麽？,"In the movie [Giratina and the Sky Warrior], what is the reason Giratina is tracking Dialga?",,,,,因为反转世界受到了污染,因為反轉世界受到了汙染,Because the Reverse World is polluted,Because the Reverse World is polluted,Because the Reverse World is polluted,Because the Reverse World is polluted,Because the Reverse World is polluted,因为以往的恩怨,因為以往的恩怨,Because of past grudges,Because of past grudges,Because of past grudges,Because of past grudges,Because of past grudges,因为都有时空穿梭的能力,因為都有時空穿梭的能力,Because they have the ability to travel through time and space,Because they have the ability to travel through time and space,Because they have the ability to travel through time and space,Because they have the ability to travel through time and space,Because they have the ability to travel through time and space,夺回帝牙卢卡身上的某些物品,奪回帝牙盧卡身上的某些物品,Retake certain items from Dialga,Retake certain items from Dialga,Retake certain items from Dialga,Retake certain items from Dialga,Retake certain items from Dialga,1,
53,2,50,205,剧场版动画【阿尔宙斯 超克的时空】在谁的帮助下小智一行人穿越时空？,劇場版動畫【阿爾宙斯 超克的時空】在誰的幫助下小智一行人穿越時空？,In mive [Arceus and the Jewel of Life] Ash and his party travel through time and space under whose help?,,,,,帝牙卢卡,帝牙盧卡,Dialga,Dialga,Dialga,Dialga,Dialga,帕路奇亚,帕路奇亞,Palkia,Palkia,Palkia,Palkia,Palkia,骑拉帝纳,騎拉帝納,Giratina,Giratina,Giratina,Giratina,Giratina,阿尔宙斯,阿爾宙斯,Arceus,Arceus,Arceus,Arceus,Arceus,1,
54,2,50,205,剧场版动画【幻影的霸者 索罗亚克】中，哪几只神兽在街道上暴走？,劇場版動畫【幻影的霸者 索羅亞克】中，哪幾只神獸在街道上暴走？,"In movie [Zoroark: Master of Illusions], which legendary Pokémon is raging on the streets?",,,,,雷公，炎帝，水君,雷公，炎帝，水君,"Raikou, Entei, Suicune","Raikou, Entei, Suicune","Raikou, Entei, Suicune","Raikou, Entei, Suicune","Raikou, Entei, Suicune",火焰鸟，闪电鸟，急冻鸟,火焰鳥，閃電鳥，急凍鳥,"Moltres, Zapdos, Articuno","Moltres, Zapdos, Articuno","Moltres, Zapdos, Articuno","Moltres, Zapdos, Articuno","Moltres, Zapdos, Articuno",雷吉洛克，雷吉斯奇鲁，雷吉艾斯,雷吉洛克，雷吉斯奇魯，雷吉艾斯,"Regirock, Registeel, Regice","Regirock, Registeel, Regice","Regirock, Registeel, Regice","Regirock, Registeel, Regice","Regirock, Registeel, Regice",帝牙卢卡，帕路奇亚，骑拉帝纳,帝牙盧卡，帕路奇亞，騎拉帝納,"Dialga, Palkia, Giratina","Dialga, Palkia, Giratina","Dialga, Palkia, Giratina","Dialga, Palkia, Giratina","Dialga, Palkia, Giratina",1,
55,2,50,205,大电影【名侦探皮卡丘】中，没有出现过的精灵是哪一只？,大電影【名偵探皮卡丘】中，沒有出現過的精靈是哪一只？,"In movie [Detective Pikachu], which Pokémon did not appeared ?",,,,,暴雪王,暴雪王,Abomasnow,Abomasnow,Abomasnow,Abomasnow,Abomasnow,爆炸头水牛,爆炸頭水牛,Bouffalant,Bouffalant,Bouffalant,Bouffalant,Bouffalant,利欧路,利歐路,Riolu,Riolu,Riolu,Riolu,Riolu,魔墙人偶,魔墻人偶,Mr. Mime,Mr. Mime,Mr. Mime,Mr. Mime,Mr. Mime,1,
56,2,50,205,剧场版动画【超梦的逆袭:进化】在日本上映于哪一年？,劇場版動畫【超夢的逆襲:進化】在日本上映於哪一年？,Which year did movie [Mewtwo Strikes Back: Evolution] been released in Japan?,,,,,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,1998,1998,1998,1998,1998,1998,1998,2018,2018,2018,2018,2018,2018,2018,1,
57,2,50,205,剧场版动画【就决定是你了!】中，在小智受到冲击波攻击倒地之后，皮卡丘开口说了一句什么话，令人感动落泪？,劇場版動畫【就決定是你了!】中，在小智受到沖擊波攻擊倒地之後，皮卡丘開口說了一句什麽話，令人感動落淚？,"In movie [Pokémon the Movie: I Choose You! ], after Ash fell to the ground by shock wave, what did Pikachu say that touched people to tears?",,,,,",因为...因为...想一直...在一起",",因為...因為...想一直...在一起",Because...because...want to stay...together,Because...because...want to stay...together,Because...because...want to stay...together,Because...because...want to stay...together,Because...because...want to stay...together,再...见~,再...見~,Goodbye... See you~,Goodbye... See you~,Goodbye... See you~,Goodbye... See you~,Goodbye... See you~,约..定好了，再见~,約..定好了，再見~,"The appointment... is set, goodbye~","The appointment... is set, goodbye~","The appointment... is set, goodbye~","The appointment... is set, goodbye~","The appointment... is set, goodbye~",十万伏特!,十萬伏特!,“Thunderbolt!”,“Thunderbolt!”,“Thunderbolt!”,“Thunderbolt!”,“Thunderbolt!”,1,
58,2,50,205,剧场版动画【裂空的访问者 代欧奇希斯】中，哪个城市系统的瘫痪导致了精灵球管理系统的瘫痪，使得所有人的精灵球都无法使用？,劇場版動畫【裂空的訪問者 代歐奇希斯】中，哪個城市系統的癱瘓導致了精靈球管理系統的癱瘓，使得所有人的精靈球都無法使用？,"In movie [Pokémon: Destiny Deoxys], which city system's paralysis caused the paralysis of the pokéball management system, making everyone's pokéball unusable?",,,,,拉鲁斯市,拉魯斯市,LaRousse City,LaRousse City,LaRousse City,LaRousse City,LaRousse City,赛罗斯镇,賽羅斯鎮,Cerosi Town,Cerosi Town,Cerosi Town,Cerosi Town,Cerosi Town,普里加市,普裏加市,Purika City,Purika City,Purika City,Purika City,Purika City,飞云市,飛雲市,Castelia City,Castelia City,Castelia City,Castelia City,Castelia City,1,
59,2,50,205,剧场版动画【决战时空之塔】中，出现的3只神兽精灵是？,劇場版動畫【決戰時空之塔】中，出現的3只神獸精靈是？,"In movie [Pokémon: The Rise of Darkrai], who are the 3 legendary Pokémon that appear?",,,,,帝牙卢卡 帕路奇亚 达克莱伊,帝牙盧卡 帕路奇亞 達克萊伊,"Dialga, Palkia, Darkrai","Dialga, Palkia, Darkrai","Dialga, Palkia, Darkrai","Dialga, Palkia, Darkrai","Dialga, Palkia, Darkrai",帝牙卢卡 帕路奇亚 骑拉帝纳,帝牙盧卡 帕路奇亞 騎拉帝納,Dialga Palkia Giratina,Dialga Palkia Giratina,Dialga Palkia Giratina,Dialga Palkia Giratina,Dialga Palkia Giratina,帝牙卢卡 骑拉帝纳 达克莱伊,帝牙盧卡 騎拉帝納 達克萊伊,Dialga Giratina Darkrai,Dialga Giratina Darkrai,Dialga Giratina Darkrai,Dialga Giratina Darkrai,Dialga Giratina Darkrai,骑拉帝纳 帕路奇亚 达克莱伊,騎拉帝納 帕路奇亞 達克萊伊,"Giratina, Palkia, Darkrai","Giratina, Palkia, Darkrai","Giratina, Palkia, Darkrai","Giratina, Palkia, Darkrai","Giratina, Palkia, Darkrai",1,
60,2,20,206,本游戏中，以下哪种精灵不能作为精灵升星的材料？,本遊戲中，以下哪種精靈不能作為精靈升星的材料？,"In this game, which of the following Pokémon cannot be used as the material for Pokémon to star up?",,,,,一只已满星级的同系列精灵,一只已滿星級的同系列精靈,An Pokémon of the same series that has been full star,An Pokémon of the same series that has been full star,An Pokémon of the same series that has been full star,An Pokémon of the same series that has been full star,An Pokémon of the same series that has been full star,百变怪,百變怪,Ditto,Ditto,Ditto,Ditto,Ditto,万能碎片转化合成而来的同系列精灵,萬能碎片轉化合成而來的同系列精靈,Pokémon of same series that combined by universal shards,Pokémon of same series that combined by universal shards,Pokémon of same series that combined by universal shards,Pokémon of same series that combined by universal shards,Pokémon of same series that combined by universal shards,未培养的同系列精灵,未培養的同系列精靈,Untrained Pokémon of the same series,Untrained Pokémon of the same series,Untrained Pokémon of the same series,Untrained Pokémon of the same series,Untrained Pokémon of the same series,1,
61,2,20,206,本游戏中，满星后会开启精灵极限属性培养，以下哪个属性无法得到提升？,本遊戲中，滿星後會開啟精靈極限屬性培養，以下哪個屬性無法得到提升？,"In this game, the Pokémon's extreme attribute training will start after the full star. Which of the following status cannot be improved?",,,,,速度,速度,speed,speed,speed,speed,speed,破抵御,破抵禦,Block Break rate,Block Break rate,Block Break rate,Block Break rate,Block Break rate,暴击率,暴擊率,Crit rate,Crit rate,Crit rate,Crit rate,Crit rate,暴击抗性,暴擊抗性,Crit resist,Crit resist,Crit resist,Crit resist,Crit resist,1,
62,2,20,206,本游戏中，以下哪个系统可以免费获得到玩法特权加成？,本遊戲中，以下哪個系統可以免費獲得到玩法特權加成？,"In this game, which of the following systems can get the bonus of gameplay privileges for free?",,,,,冒险执照,冒險執照,Adventure license,Adventure license,Adventure license,Adventure license,Adventure license,vip,vip,vip,vip,vip,vip,vip,月卡,月卡,Monthly card,Monthly card,Monthly card,Monthly card,Monthly card,通行证,通行證,Passport,Passport,Passport,Passport,Passport,1,
63,2,20,206,本游戏中，以下关于道馆说法错误是哪一项？,本遊戲中，以下關於道館說法錯誤是哪一項？,"In this game, which one of the following statements about Gym is wrong?",,,,,每周的道馆日志可以永久保存,每周的道館日誌可以永久保存,The weekly gym log can be kept forever,The weekly gym log can be kept forever,The weekly gym log can be kept forever,The weekly gym log can be kept forever,The weekly gym log can be kept forever,道馆副本每周重置,道館副本每周重置,Gym dungeon will be reset every week,Gym dungeon will be reset every week,Gym dungeon will be reset every week,Gym dungeon will be reset every week,Gym dungeon will be reset every week,道馆副本难度受自身战斗力影响,道館副本難度受自身戰鬥力影響,The difficulty of Gym dungeon is affected by own CP,The difficulty of Gym dungeon is affected by own CP,The difficulty of Gym dungeon is affected by own CP,The difficulty of Gym dungeon is affected by own CP,The difficulty of Gym dungeon is affected by own CP,可以获得徽章强化材料,可以獲得徽章強化材料,Can get badge enhancement materials,Can get badge enhancement materials,Can get badge enhancement materials,Can get badge enhancement materials,Can get badge enhancement materials,1,
64,2,20,206,本游戏中，挑战冒险之路可以获得培养精灵的什么？,本遊戲中，挑戰冒險之路可以獲得培養精靈的什麽？,"In this game, what can be obtained to build Pokémon by challenging the adventure road?",,,,,努力值,努力值,Effort value,Effort value,Effort value,Effort value,Effort value,潜能,潛能,Potential,Potential,Potential,Potential,Potential,符石,符石,Runes,Runes,Runes,Runes,Runes,星级,星級,Star,Star,Star,Star,Star,1,
65,2,20,206,本游戏中，玩家vip等级达到多少后，石英大会可以每天自动报名？,本遊戲中，玩家vip等級達到多少後，石英大會可以每天自動報名？,"In this game, Indigo Conference can auto register after reaches which VIP level?",,,,,3,3,3,3,3,3,3,5,5,5,5,5,5,5,4,4,4,4,4,4,4,2,2,2,2,2,2,2,1,
66,2,20,206,本游戏中，公会战的决赛时间在每周几？,本遊戲中，公會戰的決賽時間在每周幾？,"In this game, when is the final match of the guild war every week?",,,,,周六,周六,on Saturday,on Saturday,on Saturday,on Saturday,on Saturday,周五,周五,Friday,Friday,Friday,Friday,Friday,周四,周四,Thursday,Thursday,Thursday,Thursday,Thursday,周日,周日,Sunday,Sunday,Sunday,Sunday,Sunday,1,
67,2,20,206,本游戏中，以下关于神秘商店说法错误的是哪一项？,本遊戲中，以下關於神秘商店說法錯誤的是哪一項？,"In this game, which one of the following statements about the mystery shop is wrong?",,,,,神秘商店会一直存在,神秘商店會一直存在,The mystery store will always exist,The mystery store will always exist,The mystery store will always exist,The mystery store will always exist,The mystery store will always exist,每天都有触发次数的限制,每天都有觸發次數的限制,There is a limit of times triggering per day,There is a limit of times triggering per day,There is a limit of times triggering per day,There is a limit of times triggering per day,There is a limit of times triggering per day,消耗一定体力后有几率刷新出,消耗一定體力後有幾率刷新出,Chance to refresh after using a certain amount of energy,Chance to refresh after using a certain amount of energy,Chance to refresh after using a certain amount of energy,Chance to refresh after using a certain amount of energy,Chance to refresh after using a certain amount of energy,多数商品拥有折扣价格,多數商品擁有折扣價格,Most products have discounted prices,Most products have discounted prices,Most products have discounted prices,Most products have discounted prices,Most products have discounted prices,1,
68,2,20,206,本游戏中，玩家等级达到多少级时可开启大招跳过？,本遊戲中，玩家等級達到多少級時可開啟大招跳過？,"In this game, when player's level reaches how many levels, can use the ultimate skip?",,,,,15,15,15,15,15,15,15,1,1,1,1,1,1,1,10,10,10,10,10,10,10,20,20,20,20,20,20,20,1,
69,2,20,206,本游戏中，玩家等级达到多少级时可开启探险器？,本遊戲中，玩家等級達到多少級時可開啟探險器？,"In this game, at what level can the player unlock the explorer?",,,,,33,33,33,33,33,33,33,20,20,20,20,20,20,20,25,25,25,25,25,25,25,30,30,30,30,30,30,30,1,
70,2,20,206,本游戏中，玩家等级达到多少级时可开启技能的快速升级功能？,本遊戲中，玩家等級達到多少級時可開啟技能的快速升級功能？,"In this game, when player's level reaches what level can unlock quick upgrade function of skills?",,,,,35,35,35,35,35,35,35,10,10,10,10,10,10,10,20,20,20,20,20,20,20,40,40,40,40,40,40,40,1,
71,2,20,206,本游戏中，玩家等级达到多少级时消耗体力后有几率发现可捕捉的精灵？,本遊戲中，玩家等級達到多少級時消耗體力後有幾率發現可捕捉的精靈？,"In this game, when player's level reaches what level, after consuming energy, can have chance of finding Pokémon that can be captured?",,,,,36,36,36,36,36,36,36,30,30,30,30,30,30,30,35,35,35,35,35,35,35,40,40,40,40,40,40,40,1,
72,2,20,206,本游戏中，玩家等级达到多少级时可开启成就系统？,本遊戲中，玩家等級達到多少級時可開啟成就系統？,"In this game, at what level can the player unlock the achievement system?",,,,,50,50,50,50,50,50,50,45,45,45,45,45,45,45,40,40,40,40,40,40,40,60,60,60,60,60,60,60,1,
73,2,20,206,本游戏中，玩家等级达到多少级时可开启开钓鱼玩法？,本遊戲中，玩家等級達到多少級時可開啟開釣魚玩法？,"In this game, when player's level reaches what levels can unlock fishing feature?",,,,,65,65,65,65,65,65,65,50,50,50,50,50,50,50,55,55,55,55,55,55,55,60,60,60,60,60,60,60,1,
74,2,20,206,本游戏中，玩家等级达到多少级时可开启符石系统？,本遊戲中，玩家等級達到多少級時可開啟符石系統？,"In this game, at what level can the player unlock the rune system?",,,,,66,66,66,66,66,66,66,56,56,56,56,56,56,56,60,60,60,60,60,60,60,70,70,70,70,70,70,70,1,
75,2,20,206,本游戏中，玩家等级达到多少级时可开启符石系统？,本遊戲中，玩家等級達到多少級時可開啟符石系統？,"In this game, at what level can the player unlock the rune system?",,,,,68,68,68,68,68,68,68,50,50,50,50,50,50,50,58,58,58,58,58,58,58,60,60,60,60,60,60,60,1,
