变量名,fmt,fmt_tw,fmt_en,fmt_vn,fmt_kr,fmt_pt,fmt_th
150,#C0xF76B45##L10#【请出房间功能】,#C0xF76B45##L10#【請出房間功能】,#C0xF76B45##L10#[Kickout Feature],,#C0xF76B45##L10# [강퇴 기능],#C0xF76B45##L10#[Recurso de Expulsão],#C0xF76B45##L10#[ฟีเจอร์คิกเอาท์]
151,#C0xF76B45##L10#【节日副本规则】,#C0xF76B45##L10#【節日副本規則】,#C0xF76B45##L10#[Festival Dungeon Rules],,#C0xF76B45##L10# [명절 던전 규칙],#C0xF76B45##L10#[Regras do Festival Dungeon],#C0xF76B45##L10#[กฎของดันเจี้ยนเทศกาล]
152,#C0xF76B45##L10#【基本规则】,#C0xF76B45##L10#【基本規則】,#C0xF76B45##L10#[Basic Rules],#C0xF76B45##L10#[ Cơ bản quy tắc ],#C0xF76B45##L10#[기본 규칙],#C0xF76B45##L10#[Regras básicas],#C0xF76B45##L10#[กฎพื้นฐาน]
153,#C0xF76B45##L10#【活动规则】,#C0xF76B45##L10#【活動規則】,#C0xF76B45##L10#[Event Rules],,#C0xF76B45##L10# [이벤트 규칙],#C0xF76B45##L10#[Regras do Evento],#C0xF76B45##L10#[กฎกิจกรรม]
154,#C0xF76B45##L10#【基本规则】,#C0xF76B45##L10#【基本規則】,#C0xF76B45##L10#[Basic Rules],#C0xF76B45##L10#[ Cơ bản quy tắc ],#C0xF76B45##L10#[기본 규칙],#C0xF76B45##L10#[Regras básicas],#C0xF76B45##L10#[กฎพื้นฐาน]
155,#C0xF76B45##L10#【资源规则】,#C0xF76B45##L10#【資源規則】,#C0xF76B45##L10#[Resources Rules],,#C0xF76B45##L10# [자원 규칙],#C0xF76B45##L10#[Regras de Recursos],#C0xF76B45##L10#[กฎทรัพยากร]
156,#C0xF76B45##L10#【战斗规则】,#C0xF76B45##L10#【戰鬥規則】,#C0xF76B45##L10#[Fighting Rules],#C0xF76B45##L10#[ Chiến đấu quy tắc ],#C0xF76B45##L10#[전투 규칙],#C0xF76B45##L10#[Regras de Luta],#C0xF76B45##L10#[กฎการต่อสู้]
157,#C0xF76B45##L10#【竞标规则】,#C0xF76B45##L10#【競標規則】,#C0xF76B45##L10#[Bidding Rules],,#C0xF76B45##L10# [결투 규칙],#C0xF76B45##L10#[Regras de Licitação],#C0xF76B45##L10#[กฎการประมูล]
158,#C0xF76B45##L10#【基本规则】,#C0xF76B45##L10#【基本規則】,#C0xF76B45##L10#[Basic Rules],#C0xF76B45##L10#[ Cơ bản quy tắc ],#C0xF76B45##L10#[기본 규칙],#C0xF76B45##L10#[Regras básicas],#C0xF76B45##L10#[กฎพื้นฐาน]
159,#C0xF76B45##L10#【排行积分奖励】,#C0xF76B45##L11#【排行積分獎勵】,#C0xF76B45##L10#[Ranking Point Reward],,#C0xF76B45##L10# [순위 포인트 보상],#C0xF76B45##L10#[Recompensa de pontos de classificação],#C0xF76B45##L10#[รางวัลคะแนนอันดับ]
160,#C0xF76B45##L10#【排行榜奖励】,#C0xF76B45##L11#【排行榜獎勵】,#C0xF76B45##L10#[Ranking Reward],,#C0xF76B45##L10# [랭킹 보상],#C0xF76B45##L10#[Recompensa de classificação],#C0xF76B45##L10#[รางวัลอันดับ]
161,#C0xF76B45##L10#【活动规则】,#C0xF76B45##L10#【活動規則】,#C0xF76B45##L10#[Event Rules],,#C0xF76B45##L10# [이벤트 규칙],#C0xF76B45##L10#[Regras do Evento],#C0xF76B45##L10#[กฎกิจกรรม]
162,#C0xF76B45##L10#【基本规则】,#C0xF76B45##L10#【大冒險】,#C0xF76B45##L10# [Basic Rules],,#C0xF76B45##L10# [이벤트 규칙],#C0xF76B45##L10# [Regras básicas],#C0xF76B45##L10# [กฎพื้นฐาน]
163,#C0xF76B45##L10#【大冒险道具说明】,#C0xF76B45##L10#【大冒險道具說明】,#C0xF76B45##L10#[Grand Adventure Item Description],,,#C0xF76B45##L10#[Descrição do item de grande aventura],#C0xF76B45##L10#[คำอธิบายไอเทมผจญภัยครั้งยิ่งใหญ่]
164,#C0xF76B45##L10#【勇者挑战规则】,#C0xF76B45##L10#【勇者挑戰規則】,#C0xF76B45##L10#[Brave Challenge Rules],,,#C0xF76B45##L10#[Regras do Desafio Bravo],#C0xF76B45##L10#[กฎการท้าทาย Brave]
,,,,,,,
1001,1.每天19:00会进行刷新，会员可以在该时间点打开公会红包界面抢红包。,1.每天19:00會進行刷新，會員可以在該時間點打開公會紅包介面搶紅包。,"1. As it will refresh every day at 19:00, members can open the union's Red Packet interface at this time to grab them.",,"""1. 매일 19:00에 갱신되며, 회원은 해당 시간에 길드 보너스 메뉴를 열어 보너스를 얻을 수 있습니다.""","1. Como ele será atualizado todos os dias às 19:00, os membros podem abrir a interface do Red Packet do sindicato neste horário para obtê-los.",1. เนื่องจากจะมีการรีเฟรชทุกวันเวลา 19:00 น. สมาชิกจึงสามารถเปิดอินเทอร์เฟซ Red Packet ของสหภาพฯ ในเวลานี้เพื่อรับข้อมูลได้
1002,2.每个红包有一定的奖励上限和次数上限,2.每個紅包有一定的獎勵上限和次數上限,2. There's a maximum amount and number of times one can give in each Red Packet.,,2. 각 보너스는 일정 보상 한도와 횟수 한도가 있습니다.,2. Há um valor máximo e um número de vezes que se pode doar em cada Pacote Vermelho.,2. มีปริมาณสูงสุดและจำนวนครั้งในการให้ได้ในแต่ละซองแดง
1003,3.同一个红包，一个刷新周期内，一人最多只能抢一次,3.同一個紅包，一個刷新週期內，一人最多只能搶一次,3. One can only grab once at most for the same Red Packet that refreshes weekly.,,3. 각 보너스는 갱신 주기 내에 한 사람이 한 번만 얻을 수 있습니다.,3. Só é possível pegar no máximo uma vez o mesmo Pacote Vermelho que é atualizado semanalmente.,3. สามารถคว้า Red Packet เดียวกันได้เพียงครั้งเดียวเท่านั้น โดยจะรีเฟรชทุกสัปดาห์
1004,4.每次抢红包获取的奖励是随机发放的,4.每次搶紅包獲取的獎勵是隨機發放的,4. The rewards in each Red Packet are randomly distributed,,4. 매회 보너스 획득 시 수령하는 보상은 랜덤입니다.,4. As recompensas em cada Pacote Vermelho são distribuídas aleatoriamente,4. รางวัลใน Red Packet แต่ละอันจะถูกแจกแบบสุ่ม
1005,5.红包抢完后不可再抢,5.紅包搶完後不可再搶,5. You cannot grab Red Packets twice,,5. 보너스가 바닥나면 더는 얻을 수 없습니다.,5. Você não pode pegar Pacotes Vermelhos duas vezes,5. คุณไม่สามารถคว้า Red Packets สองครั้งได้
,,,,,,,
1011,1.会员红包需要完成一定的条件才可以发放,1.會員紅包需要完成一定的條件才可以發放,1. Member need to fulfill certain conditions before they can be distributed Red Packets,,1. 회원 보너스는 일정 조건을 달성해야 보낼 수 있습니다.,1. Os membros precisam cumprir certas condições antes que possam receber os Pacotes Vermelhos,1. สมาชิกจะต้องปฏิบัติตามเงื่อนไขบางประการก่อนจึงจะสามารถแจก Red Packet ได้
1012,2.满足红包发放条件时，可以获得一个红包发放资格，不同的红包有不同的时限,2.滿足紅包發放條件時，可以獲得一個紅包發放資格，不同的紅包有不同的時限,"2. When the requirements for distributing Red Packets are met, you will get one chance of distributing the Red Packet. Different Red Packet different time limits.",,"""2. 보너스 발송 조건을 달성하면 보너스 하나를 보낼 수 있게 되며, 각 보너스는 시간 제한이 다릅니다.""","2. Quando os requisitos para distribuir Red Packets forem atendidos, você terá uma chance de distribuir o Red Packet. Diferentes Red Packets têm limites de tempo diferentes.",2. เมื่อปฏิบัติตามข้อกำหนดในการแจกซองแดงแล้ว คุณจะได้รับโอกาสในการแจกซองแดงหนึ่งครั้ง ซองแดงแต่ละซองจะมีระยะเวลาจำกัดที่แตกต่างกัน
1013,3.超过时限的红包会消失,3.超過時限的紅包會消失,3. Red Packet disappears when it expires,,3. 시간 초과 시 보너스는 사라집니다.,3. O pacote vermelho desaparece quando expira,3. ซองแดงจะหายไปเมื่อหมดอายุ
1014,4.发放红包不需要消耗钻石，发放到公会后，所有公会成员均可参与抢红包。,4.發放紅包不需要消耗自身的鑽石，發放到公會後，所有公會成員均可參與搶紅包。,"4.No diamonds is needed to distribute the Red Packets. After distributing it to the union, all union members can join in to grab the Red Packets.",,"""4. 보너스 발송 시 다이아를 소모하지 않으며, 길드에 보너스를 보내면 모든 길드원이 쟁탈할 수 있습니다.""","4. Nenhum diamante é necessário para distribuir os Pacotes Vermelhos. Após distribuí-los para o sindicato, todos os membros do sindicato podem se juntar para pegar os Pacotes Vermelhos.",4. ไม่จำเป็นต้องใช้เพชรในการแจกซองแดง หลังจากแจกซองแดงให้กับสหภาพแล้ว สมาชิกสหภาพทุกคนสามารถเข้าร่วมเพื่อคว้าซองแดงได้
1015,5.已经发放的红包，24小时内没抢完会消失，注意及时抢走哦,5.已經發放的紅包，24小時內沒搶完會消失，注意及時搶走哦,5. The Red Packets that have been distributed will disappear within 24 hours. Do grab them in time!,,5. 이미 발송한 보너스는 24시간 내에 획득하지 않으면 사라집니다.,5. Os Pacotes Vermelhos que foram distribuídos desaparecerão em 24 horas. Pegue-os a tempo!,5. ซองแดงที่แจกไปแล้วจะหายไปภายใน 24 ชั่วโมง โปรดรีบคว้าไว้ให้ทันเวลา!
1016,6.每个红包一个人只能抢一次,6.每個紅包一個人只能搶一次,6. Each trainer can only grab each Red Packet once,,6. 각 보너스는 한 사람이 한 번만 획득할 수 있습니다.,6. Cada treinador só pode pegar cada Pacote Vermelho uma vez,6. ผู้ฝึกสอนแต่ละคนสามารถรับ Red Packet ได้เพียงครั้งเดียวเท่านั้น
1017,7.已获得的红包，发放后保留在公会，更换公会不跟随,7.已獲得的紅包，發放後保留在公會，更換公會不跟隨,"7. The Red Packets that have been obtained will remain within the union, and are transferable if trainers change to another union",,"""7. 이미 획득한 보너스는 발송 시 길드에 유지되며, 길드를 변경해도 함께 이동하지 않습니다.""",7. Os Pacotes Vermelhos obtidos permanecerão na união e serão transferíveis caso os treinadores mudem para outra união.,7. Red Packets ที่ได้รับจะยังคงอยู่ภายในสหภาพ และสามารถโอนได้หากผู้ฝึกสอนเปลี่ยนไปใช้สหภาพอื่น
1018,8.已获得的红包，如未发放，则在有效期内更换公会仍然可在新公会发放,8.已獲得的紅包，如未發放，則在有效期內更換公會仍然可在新公會發放,"8. If the Red Packet you obtained has not been distributed, it can still be distributed in the new union before the Red Packet expires",,"""8. 이미 획득한 보너스를 발송하지 않을 경우, 유효기간 내에 길드 변경 시 새로운 길드에서 발송할 수 있습니다.""","8. Se o Pacote Vermelho que você obteve não foi distribuído, ele ainda pode ser distribuído na nova união antes que o Pacote Vermelho expire",8. หาก Red Packet ที่คุณได้รับยังไม่ได้ถูกแจกจ่าย คุณยังสามารถแจกจ่ายในสหภาพใหม่ก่อนที่ Red Packet จะหมดอายุ
1019,9.更换公会后需要第二天才能使用红包功能,9.更換公會後需要第二天才能使用紅包功能,9. Trainers can only use the Red Packet feature one day after they've switched union,,9. 길드 변경 후 다음 날 보너스 기능을 사용할 수 있습니다.,9. Os treinadores só podem usar o recurso Red Packet um dia após a troca de sindicato,9. ผู้ฝึกสอนสามารถใช้คุณสมบัติ Red Packet ได้เพียงหนึ่งวันหลังจากที่พวกเขาเปลี่ยนสหภาพ
,,,,,,,
2001,1.每天可以挑战一次以太乐园,1.每天可以挑戰一次以太樂園,1. Trainers can challenge Aether Paradise once daily,,1. 매일 에테르파라다이스에 한 번 도전할 수 있습니다.,1. Os treinadores podem desafiar o Aether Paradise uma vez por dia,1. ผู้ฝึกสามารถท้าทาย Aether Paradise ได้วันละครั้ง
2002,2.每天凌晨5点重置以太乐园的挑战进度和排名情况,2.每天淩晨5點重置以太樂園的挑戰進度和排名情況,2. The progress and ranking of Aether Paradise Challenge reset at 05:00 daily,,2. 매일 오전 0시마다 에테르파라다이스의 도전 진행도와 순위 상황이 초기화됩니다.,2. O progresso e a classificação do Aether Paradise Challenge são redefinidos às 05:00 diariamente,2. ความคืบหน้าและอันดับของ Aether Paradise Challenge จะถูกรีเซ็ตทุกวันเวลา 05:00 น.
2003,3.排名奖励会在重置时以邮件发放,3.排名獎勵會在重置時以郵件發放,3. Ranking rewards will be given via when it is being reset,,3. 순위 보상은 초기화 시 우편으로 지급됩니다.,3. As recompensas de classificação serão dadas quando forem reiniciadas,3. รางวัลการจัดอันดับจะมอบให้เมื่อทำการรีเซ็ต
,,,,,,,
2011,1.以太乐园共有7层，每一层有7-12个房间，每个房间内会有1到4种不同的选项可供选择,1.以太樂園共有7層，每一層有7-12個房間，每個房間內會有1到4種不同的選項可供選擇,"1. There are 7 floors in Aether Paradise, each floor has 7-12 rooms, and each room has 1 to 4 options to choose from.",,"""1. 에테르파라다이스에는 총 7개의 층이 존재합니다. 각 층은 7~12개의 방으로 이루어져 있고, 방마다 1~4종류의 선택지가 있습니다.""","1. Há 7 andares no Aether Paradise, cada andar tem de 7 a 12 salas, e cada sala tem de 1 a 4 opções para escolher.",1. Aether Paradise มีทั้งหมด 7 ชั้น โดยแต่ละชั้นจะประกอบไปด้วยห้องต่างๆ 7-12 ห้อง และแต่ละห้องจะมีตัวเลือกให้เลือกตั้งแต่ 1 ถึง 4 แบบ
2012,2.选择一个选项后，根据选项可以得到对应的选择结果,2.選擇一個選項後，根據選項可以得到對應的選擇結果,"2. After the selection, you can get the corresponding results according to your option",,"""2. 선택지를 고를 경우, 선택지에 따라 해당하는 선택 결과를 얻을 수 있습니다.""","2. Após a seleção, você pode obter os resultados correspondentes de acordo com sua opção",2. หลังจากเลือกแล้ว คุณจะได้รับผลลัพธ์ที่สอดคล้องตามตัวเลือกของคุณ
2013,3.每次选择会影响到后续房间的选择，点击选项后，后续选择会亮起,3.每次選擇會影響到後續房間的選擇，點擊選項後，後續選擇會亮起,3. Each selection will affect the subsequent room options. The subsequent options will be highlighted after you've made the selection.,,"""3. 매회 선택 시 다음 방의 선택에 영향을 주며, 선택 터치 시 후속 선택이 활성화됩니다.""",3. Cada seleção afetará as opções de quarto subsequentes. As opções subsequentes serão destacadas depois que você fizer a seleção.,3. การเลือกแต่ละครั้งจะส่งผลต่อตัวเลือกห้องถัดไป ตัวเลือกถัดไปจะถูกเน้นหลังจากที่คุณเลือกแล้ว
