变量名,key,text,text_tw,text_en,text_vn,text_kr,text_pt,text_th
76,giftSameMax,You've claimed the maximum No. of the same reward pack!,同個禮包已達領取上限！,You've claimed the maximum No. of the same reward pack!,Cùng cái gói quà đã đạt nhận lấy hạn mức cao nhất!,동일 선물의 수령 한도에 도달했습니다!,Você reivindicou o número máximo do mesmo pacote de recompensas!,คุณได้รับรางวัลแพ็คเดียวกันถึงจำนวนสูงสุดแล้ว!
77,giftSameTypeMax,You've claimed the maximum No. of similar type reward pack!,同類禮包已達領取上限！,You've claimed the maximum No. of similar type reward pack!,Đồng loại gói quà đã đạt nhận lấy hạn mức cao nhất!,동일 유형 선물의 수령 한도에 도달했습니다!,Você reivindicou o número máximo de pacotes de recompensas do mesmo tipo!,คุณได้รับรางวัลแพ็คประเภทเดียวกันจำนวนสูงสุดแล้ว!
78,shopItemBuyYet,You can't buy this shop item again!,商店物品無法再次購買！,You can't buy this shop item again!,Cửa hàng vật phẩm không cách nào lại lần mua!,상점이 아이템을 더는 구매할 수 없습니다!,Você não pode comprar este item da loja novamente!,คุณไม่สามารถซื้อสินค้าจากร้านนี้อีกต่อไป!
79,unionCreateRMBNotEnough,"""Insufficient diamonds, you can't create a union!""",鑽石不足，無法創建公會！,"""Insufficient diamonds, you can't create a union!""",Không đủ đá quý để tạo bang hội!,다이아가 부족해 길드를 창설할 수 없습니다!,"Sem diamantes suficientes, você não pode criar uma união!",“เพชรไม่เพียงพอ คุณไม่สามารถสร้างสหภาพได้!”
80,unionAlreadyIn,You've already joined a union!,你已經在公會中！,You've already joined a union!,Bạn đã ở trong bang hội rồi!,이미 길드에 가입했습니다!,Você já se filiou a um sindicato!,คุณได้เข้าร่วมสหภาพแล้ว!
81,unionQuitCDTime,"""After leaving a union, there will be a 12-hour cooldown \n before trainers can join another union""",退出公會之後會有12小時的加入\n公會冷卻時間,"""After leaving a union, there will be a 12-hour cooldown \n before trainers can join another union""",Sẽ có thời gian chờ 12 giờ trước khi bạn có thể tham gia bang hội khác sau khi rời khỏi bang hội.,길드 탈퇴 후 12시간 동안\n길드에 가입할 수 없습니다.,"Após deixar um sindicato, haverá um período de espera de 12 horas antes que os treinadores possam ingressar em outro sindicato",“หลังจากออกจากสหภาพแล้ว จะมีช่วงพัก 12 ชั่วโมงก่อนที่ผู้ฝึกสอนจะเข้าร่วมสหภาพอื่นได้”
82,unionNameTooLong,"""Union name is too long, please modify!""",公會名稱過長，請修改！,"""Union name is too long, please modify!""","Tên hội quá dài, vui lòng sửa lại!",길드 이름이 너무 깁니다!,"O nome do sindicato é muito longo, modifique-o!",ชื่อสหภาพยาวเกินไป กรุณาแก้ไข!
83,unionNameInvalid,"""Union name is inappropriate, please modify!""",公會名稱不合適，請修改！,"""Union name is inappropriate, please modify!""","Tên hội không phù hợp, vui lòng sửa lại!",사용할 수 없는 길드 이름입니다!,"O nome do sindicato é inapropriado, por favor, modifique!",ชื่อสหภาพไม่เหมาะสม กรุณาแก้ไข!
84,unionNameDuplicated,"""Union name has been taken, please modify!""",公會名稱已被佔用，請修改！,"""Union name has been taken, please modify!""","Tên hội đã được sử dụng, vui lòng đổi tên!",이미 사용 중인 길드 이름입니다!,"O nome do sindicato foi escolhido, por favor modifique!",ชื่อสหภาพถูกใช้แล้ว กรุณาแก้ไข!
85,unionJoinPendingMax,Too make requests to join the union!,申請加入的公會過多！,Too make requests to join the union!,Quá nhiều bang hội đã xin gia nhập!,가입 신청한 길드가 너무 많습니다!,Faça pedidos para se filiar ao sindicato!,มาทำการร้องขอเข้าร่วมสหภาพกันเถอะ!
86,unionJoinPending,You've already sent a request to join this union!,你已經申請加入該公會！,You've already sent a request to join this union!,Bạn đã đăng ký tham gia hội này!,이미 가입을 신청한 길드입니다!,Você já enviou uma solicitação para ingressar neste sindicato!,คุณได้ส่งคำขอเข้าร่วมสหภาพนี้แล้ว!
87,unionNotExisted,You have been kicked out by the union admin!,您已經被公會管理請離公會！,You have been kicked out by the union admin!,Bạn đã bị quản lý bang hội đuổi khỏi bang hội!,이미 길드에서 추방되었습니다!,Você foi expulso pela administração do sindicato!,คุณถูกไล่ออกโดยผู้ดูแลสหภาพ!
88,unionLevelNotEnough,"""Insufficient trainer level, unable to join union!""",等級不足，無法加入公會！,"""Insufficient trainer level, unable to join union!""",Cấp độ không đủ để gia nhập bang hội!,레벨이 부족해 길드에 가입할 수 없습니다!,"Nível de treinador insuficiente, não é possível ingressar no sindicato!",“ระดับผู้ฝึกสอนไม่เพียงพอ ไม่สามารถเข้าร่วมสหภาพได้!”
89,unionMemberMax,Union members have reached the maximum number!,公會成員數已達上限！,Union members have reached the maximum number!,Số thành viên bang hội đã đạt giới hạn!,길드원 수가 이미 최대입니다!,Os membros do sindicato atingiram o número máximo!,สมาชิกสหภาพฯ ครบจำนวนสูงสุดแล้ว!
90,unionRefuseJoin,Union is not opened for joining yet!,公會未開放成員加入！,Union is not opened for joining yet!,Bang hội không mở tuyển thành viên!,길드가 가입을 개방하지 않았습니다!,O sindicato ainda não está aberto para filiação!,ยูเนี่ยนยังไม่เปิดรับสมัครสมาชิก!
91,unionNoPrivilege,You're not authorized to manage this union!,你沒有許可權管理該公會！,You're not authorized to manage this union!,Bạn không có quyền quản lý bang hội này!,해당 길드의 관리 권한이 없습니다!,Você não está autorizado a administrar este sindicato!,คุณไม่มีสิทธิในการจัดการสหภาพนี้!
92,unionRoleAlreadyIn,The trainer is already a member of the union!,該玩家已經是本公會會員！,The trainer is already a member of the union!,Người chơi này đã là thành viên của bang hội này!,해당 유저는 이미 본 길드의 회원입니다!,O treinador já é membro do sindicato!,ผู้ฝึกสอนเป็นสมาชิกสหภาพเรียบร้อยแล้ว!
93,unionRoleJoinCancel,The trainer has withdrawn their request!,該玩家已經放棄申請！,The trainer has withdrawn their request!,Người chơi đã từ bỏ đơn xin!,해당 유저는 신청을 포기했습니다!,O treinador retirou o pedido!,เทรนเนอร์ถอนคำร้องแล้ว!
94,unionRoleNoJoin,You've not sent a request to join this union!,你沒有申請加入該公會！,You've not sent a request to join this union!,Bạn chưa đăng ký tham gia hội này!,해당 길드에 가입을 신청하지 않았습니다!,Você não enviou uma solicitação para ingressar neste sindicato!,คุณไม่ได้ส่งคำขอเข้าร่วมสหภาพนี้!
95,unionAlreadyIn(exist),You're already a member of the union,你已經是公會成員,You're already a member of the union,Bạn đã là thành viên bang hội.,이미 길드원입니다.,Você já é membro do sindicato,คุณเป็นสมาชิกสหภาพแล้ว
96,unionRoleAlreadyInOther,The trainer is already a member of another union!,該玩家已經是其它公會會員！,The trainer is already a member of another union!,Người chơi này đã là thành viên của một bang hội khác!,해당 유저는 이미 다른 길드에 가입했습니다!,O treinador já é membro de outro sindicato!,ผู้ฝึกสอนเป็นสมาชิกสหภาพอื่นอยู่แล้ว!
97,unionChairmanCanNotQuit,union leader cannot abandon the union!,會長無法退出公會！,union leader cannot abandon the union!,Guild trưởng không thể rời khỏi bang hội!,회장은 길드를 탈퇴할 수 없습니다!,O líder sindical não pode abandonar o sindicato!,หัวหน้าสหภาพแรงงานไม่อาจละทิ้งสหภาพแรงงานได้!
98,unionCanNotHandleNonMember,You can't do this action to non-union members!,無法對非本公會會員進行操作！,You can't do this action to non-union members!,Không thể thực hiện thao tác trên thành viên không thuộc hội!,본 길드의 회원이 아니므로 명령을 실행할 수 없습니다!,Você não pode fazer isso com pessoas que não são filiadas ao sindicato!,คุณไม่สามารถทำการกระทำนี้กับสมาชิกที่ไม่ใช่สหภาพได้!
